Language	Chapter	Number	Text
BRI	10031	1	"==="
CHI	10031	1	"证书没有PEM格式"
ENG	10031	1	"Certificate does not have PEM format"
FRA	10031	1	"Le certificat n'a pas le format PEM"
GER	10031	1	"Zertifikat nicht im PEM-Format"
POR	10031	1	"O certificado não tem o PEM"
SPA	10031	1	"El certificado no tiene el formato PEM"
XXX	10031	1	"AFCB712740EB473ED0048ECA0BDA83D6773F7BA7"
BRI	10031	2	"==="
CHI	10031	2	"在检验认证授权凭证的证书{0}时出错"
ENG	10031	2	"Error in verifying certificate with certificate of certification authority {0}"
FRA	10031	2	"Erreur lors de la vérification du certificat avec le certificat de l'autorité de certification {0}"
GER	10031	2	"Fehler bei der Verifizierung des Zertifikats mit Zertifikat der Prüfstelle {0}"
POR	10031	2	"Erro na verificação do certificado com o certificado da autoridade de certificação {0}·"
SPA	10031	2	"Error durante la comprobación del certificado con el certificado de la autoridad de certificación {0}"
XXX	10031	2	"E43348B553BB4A0BF5483998506A77F88936124E"
BRI	10031	3	"==="
CHI	10031	3	"解密私钥时出错（口令短语可能不正确）：{0}"
ENG	10031	3	"Error when decrypting private key (maybe wrong passphrase): {0}"
FRA	10031	3	"Erreur lors du décryptage de la clé privée (il est possible que la phrase secrète soit erronée) : {0}"
GER	10031	3	"Fehler beim Entschlüsseln des privaten Schlüssels (evtl. falsche Passphrase): {0}"
POR	10031	3	"Erro descriptografar a chave privada (é possível que a senha esteja errada): {0}"
SPA	10031	3	"Error al decriptar la clave privada (puede que la fase la fase secreta esté erronea) : {0}"
XXX	10031	3	"34B8FD34CEA0859B28C60745323E6BFED0163DB5"
BRI	10031	4	"==="
CHI	10031	4	"测试带有私钥{0}的签名时出错"
ENG	10031	4	"Error in signature test with private key {0}"
FRA	10031	4	"Erreur lors du test de signature avec la clé privée {0}"
GER	10031	4	"Fehler beim Signaturtest mit privatem Schlüssel {0}"
POR	10031	4	"Erro durante o teste de assinatura c/a chave privada {0}"
SPA	10031	4	"Errorr durante la prueba de firma con la clave privada {0}"
XXX	10031	4	"1B24800AFE391B6A404E80F3ABD1DA8C6851AA7D"
BRI	10031	5	"==="
CHI	10031	5	"测试带有证书{0}的检验时出错"
ENG	10031	5	"Error in verify test with certificate {0}"
FRA	10031	5	"Erreur lors du test de vérification avec le certificat {0}"
GER	10031	5	"Fehler beim Verifizierungstest mit Zertifikat"
POR	10031	5	"Erro durante o teste de verificação com o certificado {0}"
SPA	10031	5	"Errorr durante la prueba de comprobación con el certificado {0}"
XXX	10031	5	"C4558D2AD3A256556FAE05B551088CD450360575"
BRI	10031	6	"==="
CHI	10031	6	"所提供的认证授权凭证中没有任何一个适用于该证书"
ENG	10031	6	"None of the given certificates of certification authorities fits to the certificate"
FRA	10031	6	"Aucun des certificats d'autorités de certification fournis ne convient pour le certificat"
GER	10031	6	"Keines der gegegebenen Zertifikate der Prüfstelle passt zum Zertifikat"
POR	10031	6	"Nenhum certificados de autoridade de certificação será fornecida para o certificado"
SPA	10031	6	"Ninguno de los certificados de autoritdad de certificación entregados conviene para el certificado"
XXX	10031	6	"D4B0501EBFC3E4EA9ECB2670B71C6362AAC77956"
BRI	10031	7	"==="
CHI	10031	7	"私钥没有PEM格式"
ENG	10031	7	"Private key does not have PEM format"
FRA	10031	7	"La clé privée n'a pas le format PEM"
GER	10031	7	"Privater Schlüssel nicht im PEM-Format"
POR	10031	7	"A chave privada não é PEM"
SPA	10031	7	"La clave privada no tiene el formato PEM"
XXX	10031	7	"6337AE9F5251047E4DFD39E83645B5742E6451D2"
BRI	10031	8	"==="
CHI	10031	8	"已解密的私钥没有DER格式"
ENG	10031	8	"Decrypted private key does not have DER format"
FRA	10031	8	"La clé privée décryptée n'a pas le format DER"
GER	10031	8	"Entschlüsselter privater Schlüssel nicht im DER-Format"
POR	10031	8	"A chave privada descriptografado não está no formaro DER"
SPA	10031	8	"La clave privada decriptada no tiene el formato DER"
XXX	10031	8	"0C8E255CA3E658C114415D88403445CF3C61E82F"
BRI	10031	9	"==="
CHI	10031	9	"钥匙不适用于证书"
ENG	10031	9	"Key does not fit to certificate"
FRA	10031	9	"La clé ne convient pas pour le certificat"
GER	10031	9	"Schlüssel passt nicht zum Zertifikat"
POR	10031	9	"A chave não é apropriada para o certificado"
